Amaranthus graecizans,Kreikanrevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/f/f1/Leaves.png,394813,11540609
Amaranthus hybridus,Viljarevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/1/10/Amarant_gr%C3%BCn.jpg,394813,2855215
Amaranthus hybridus ssp. cruentus,Purppurarevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/b/b4/G.maculatum.jpg,394813,15572138
Amaranthus hybridus ssp. hybridus,Hoikkarevonhäntä,1,https://upload.wikimedia.org/wikipedia/en/d/da/Amaranthusbrownii_low_res.jpg,394813,6077632
###ERROR###Amaranthus hybridus ssp. hypochondriacus,Meksikonrevonhäntä
Amaranthus hybridus ssp. powellii,Tummarevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/b/b4/G.maculatum.jpg,1044752,15572138
Amaranthus palmeri,Rassirevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/4/4d/Amaranthus_palmeri.jpg,869586,2855245
Amaranthus polygonoides,Suppilorevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/1/1e/Amaranthus_cruentus_Foxtail_2.jpg,394813,2855243
Amaranthus retroflexus,Viherrevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/6/6b/Amaranthus_retroflexus_flower1.jpg,998885,2855237
Amaranthus rudis,Kansasinrevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/3/33/Amaranthus_tuberculatus_drawing.jpg,394813,14819965
Amaranthus spinosus,Piikkirevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/b/b9/Amaranthus.spinosus1web.jpg,394813,2855226
Amaranthus standleyanus,Argentiinanrevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/0/01/Triticum_aestivum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-274.jpg,394813,1542
Amaranthus viridis,Hentorevonhäntä,1,https://upload.wikimedia.org/wikipedia/commons/2/20/Amaranthus_viridis_25042014_1.jpg,394813,2855213
Galanthus nivalis,Puistolumikello,1,https://upload.wikimedia.org/wikipedia/commons/2/23/Galanthus_nivalis.jpg,327031,2731208
Narcissus asturiensis,Pikkunarsissi,1,https://upload.wikimedia.org/wikipedia/commons/1/1f/NarcissusasturiensisPicos.JPG,342708,22830958
Narcissus poëticus,Valkonarsissi,1,https://upload.wikimedia.org/wikipedia/commons/d/de/Narcissus.poeticus.1658.jpg,996889,5866571
Narcissus pseudonarcissus,Keltanarsissi,1,https://upload.wikimedia.org/wikipedia/commons/a/a4/Narcissus_pseudonarcissus_flower_300303.jpg,997240,4710419
Narcissus tazetta,Tasetti,1,https://upload.wikimedia.org/wikipedia/commons/8/84/Narcissus-tazetta-0006a.jpg,342708,6041992
Narcissus x incomparabilis,Tähtinarsissi,1,https://upload.wikimedia.org/wikipedia/commons/b/b4/G.maculatum.jpg,342708,15572138
Aegopodium podagraria,Vuohenputki,1,https://upload.wikimedia.org/wikipedia/commons/e/e7/Illustration_Aegopodium_podagraria0.jpg,281957,532427
Aethusa cynapium,Hukanputki,1,https://upload.wikimedia.org/wikipedia/commons/2/2d/Illustration_Aethusa_cynapium0.jpg,558364,1976471
###ERROR###Aethusa cynapium var. agrestis,Pikkuhukanputki
###ERROR###Aethusa cynapium var. cynapium,Rikkahukanputki
###ERROR###Aethusa cynapium var. domestica,Tarhahukanputki
###ERROR###Aethusa cynapium var. gigantea,Isohukanputki
Ammi majus,Isosudenporkkana,1,https://upload.wikimedia.org/wikipedia/commons/0/05/Ammi_majus_Sturm8.jpg,1045452,9684593
Ammoselinum popei,Kääpiöputki,1,https://upload.wikimedia.org/wikipedia/commons/a/a0/Ammoselinum_popei_%28AMPO4%29.png,54687,9277272
Anethum graveolens,Maustetilli,1,https://upload.wikimedia.org/wikipedia/commons/1/10/Illustration_Anethum_graveolens0.jpg,43908,7985
Angelica archangelica,Väinönputki,1,https://upload.wikimedia.org/wikipedia/commons/3/3b/Koehler1887-GardenAngelica.jpg,196473,840306
###ERROR###Angelica archangelica ssp. archangelica,Väinönputki
###ERROR###Angelica archangelica ssp. litoralis,Meriputki
Angelica sylvestris,Karhunputki,1,https://upload.wikimedia.org/wikipedia/commons/1/13/Illustration_Angelica_silvestris0.jpg,283882,7475651
Anthriscus cerefolium,Maustekirveli,1,https://upload.wikimedia.org/wikipedia/commons/5/51/Illustration_Anthriscus_cerefolium0.jpg,41430,841973
Anthriscus sylvestris,Koiranputki,1,https://upload.wikimedia.org/wikipedia/commons/7/7e/Anthriscus_sylvestris_-_Mets-harakputk.jpg,47524,2649495
Apium graveolens,Ruokaselleri,1,https://upload.wikimedia.org/wikipedia/commons/5/5d/Illustration_Apium_graveolens0.jpg,83552,2437912
Apium nodiflorum,Koiranselleri,1,https://upload.wikimedia.org/wikipedia/commons/b/b8/Helosciadium_nodiflorum_herbier.jpg,120898,32476239
Astrantia major,Isotähtiputki,1,https://upload.wikimedia.org/wikipedia/commons/0/00/PlantsInArvenbul1400m.jpg,515302,44185984
###ERROR###Bifora radians,Silopoilikki
Bunium bulbocastanum,Maakastanjaputki,1,https://upload.wikimedia.org/wikipedia/commons/c/c9/Blackcuminseeds.jpg,54687,2363994
Bupleurum croceum,Helojänönputki,1,https://upload.wikimedia.org/wikipedia/commons/b/b4/G.maculatum.jpg,1017923,15572138
Bupleurum lancifolium,Suippujänönputki,1,https://upload.wikimedia.org/wikipedia/commons/5/51/Bupleurum_lancifolium1.jpg,1017923,20762317
###ERROR###Bupleurum odontites,Äimäjänönputki
Bupleurum rotundifolium,Pyöröjänönputki,1,https://upload.wikimedia.org/wikipedia/commons/8/8d/Bupleurum_gibraltaicum_MHNT.BOT.2013.22.47.jpg,1045939,2631451
Carum carvi,Kumina,1,https://upload.wikimedia.org/wikipedia/commons/4/42/Carum_carvi_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-172.jpg,45054,173546
Caucalis platycarpos,Väkäpurho,1,https://upload.wikimedia.org/wikipedia/commons/d/dd/Caucalis_platycarpos1_eF.jpg,1021401,9314946
Cenolophium denudatum,Tuholatva,1,https://upload.wikimedia.org/wikipedia/commons/a/ac/Cenolophium_denudatum02.jpg,1045962,9315054
Chaerophyllum aromaticum,Tuoksukirveli,1,https://upload.wikimedia.org/wikipedia/commons/5/5d/Chaerophyllum_bulbosum_W.jpg,-1,9329964
Chaerophyllum aureum,Kultakirveli,1,https://upload.wikimedia.org/wikipedia/commons/3/34/Chaerophyllum_aureum1.JPG,1045951,1045951
Chaerophyllum bulbosum,Mukulakirveli,1,https://upload.wikimedia.org/wikipedia/commons/a/ae/Chaerophyllum_bulbosum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-177.jpg,1045947,16794913
Chaerophyllum hirsutum,Karvakirveli,1,https://upload.wikimedia.org/wikipedia/commons/7/7d/Neuch%C3%A2tel_Herbarium_-_Chaerophyllum_elegans_-_NEU000006276.jpg,1045944,37558015
###ERROR###Chaerophyllum prescottii,Idänkirveli
Chaerophyllum temulum,Myrkkykirveli,1,https://upload.wikimedia.org/wikipedia/commons/c/c1/Illustration_Chaerophyllum_temulentum0.jpg,1045953,11804362
Cicuta virosa,Myrkkykeiso,1,https://upload.wikimedia.org/wikipedia/commons/1/17/Cicuta_virosa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-038_cropped.jpg,94098,671169
###ERROR###Cicuta virosa var. angustifolia,Kaitamyrkkykeiso
Cicuta virosa var. virosa,Rantamyrkkykeiso,1,https://upload.wikimedia.org/wikipedia/commons/0/09/Cicuta_douglasii.jpg,94098,2313520
Conium maculatum,Myrkkykatko,1,https://upload.wikimedia.org/wikipedia/commons/b/b2/Conium.jpg,62271,22438472
Coriandrum sativum,Korianteri,1,https://upload.wikimedia.org/wikipedia/commons/1/13/Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg,45089,520538
Cyclospermum leptophyllum,Amerikanselleri,1,https://upload.wikimedia.org/wikipedia/commons/d/d5/Starr_010520-0107_Ciclospermum_leptophyllum.jpg,120898,14895199
Daucus carota,Porkkana,1,https://upload.wikimedia.org/wikipedia/commons/b/ba/DaucusCarota.jpg,34290,301030
###ERROR###Daucus carota ssp. carota,Rikkaporkkana
Daucus carota ssp. sativus,Ruokaporkkana,1,https://upload.wikimedia.org/wikipedia/commons/1/14/Aster_leafhopper.jpg,34290,7852272
Eryngium alpinum,Alppipiikkiputki,1,https://upload.wikimedia.org/wikipedia/commons/8/85/Eryngium_alpinum.JPG,67732,2167649
Eryngium campestre,Kenttäpiikkiputki,1,https://upload.wikimedia.org/wikipedia/commons/b/b0/Eryngium_campestre_310705b.jpg,1224702,7271505
Eryngium planum,Sinipiikkiputki,1,https://upload.wikimedia.org/wikipedia/commons/7/7a/Eryngium_planum_bgiu.jpg,1046195,32601490
Foeniculum vulgare,Fenkoli,1,https://upload.wikimedia.org/wikipedia/commons/c/c0/Foeniculum_July_2011-1a.jpg,50703,173548
Heracleum mantegazzianum,Kaukasianjättiputki,1,https://upload.wikimedia.org/wikipedia/commons/a/ae/Herkulesstaude_fg01.jpg,570415,711848
Heracleum persicum,Persianjättiputki,1,https://upload.wikimedia.org/wikipedia/commons/b/b3/Illustration_Heracleum_sphondylium0.jpg,695374,18550056
###ERROR###Heracleum sibiricum,Idänukonputki
Heracleum sphondylium,Etelänukonputki,1,https://upload.wikimedia.org/wikipedia/commons/0/02/Heracleum_sphondylium_Berenklauw.jpg,155326,3597395
Laserpitium latifolium,Lehtokarvasputki,1,https://upload.wikimedia.org/wikipedia/commons/9/9c/Apiaceae_-_Laserpitium_latifolium-1.JPG,1314327,12190432
Levisticum officinale,Liperi,1,https://upload.wikimedia.org/wikipedia/commons/7/78/Liebst%C3%B6ckel.JPG,54701,480258
Ligusticum scoticum,Rantaputki,1,https://upload.wikimedia.org/wikipedia/commons/8/8d/Ligusticum_scoticum.jpg,1304249,37568245
Meum athamanticum,Karhunjuuri,1,https://upload.wikimedia.org/wikipedia/commons/9/93/Illustration_Meum_athamanticum0_clean.jpg,1045909,7853867
###ERROR###Molopospermum peloponnesiacum,Vuorikirveli
Myrrhis odorata,Saksankirveli,1,https://upload.wikimedia.org/wikipedia/commons/d/dc/Apiaceae_-_Myrrhis_odorata.JPG,197153,1800761
###ERROR###Oenanthe aquatica,Liejupahaputki
Pastinaca sativa,Palsternakka,1,https://upload.wikimedia.org/wikipedia/commons/b/b7/PastinakePflanzegeerntet.jpg,190298,335507
Pastinaca sativa ssp. sativa,Ruokapalsternakka,1,https://upload.wikimedia.org/wikipedia/commons/9/97/Wortel_violet_wortelrot_%28Helicobasidium_brebissonii_on_Daucus_carota%29.jpg,1000967,11127880
Pastinaca sativa ssp. sylvestris,Karvapalsternakka,1,https://upload.wikimedia.org/wikipedia/commons/b/b4/G.maculatum.jpg,-1,15572138
Petroselinum crispum,Persilja,1,https://upload.wikimedia.org/wikipedia/commons/e/e4/Petroselinum.jpg,40817,40817
Petroselinum crispum var. neapolitanum,Silopersilja,1,https://upload.wikimedia.org/wikipedia/commons/3/32/Parsley_flower_with_pollinator.JPG,40817,23206
Peucedanum palustre,Luhtasuoputki,1,https://upload.wikimedia.org/wikipedia/commons/c/c9/Peucedanum_palustre_bluete.jpeg,797628,2633516
Pimpinella anisum,Anisruoho,1,https://upload.wikimedia.org/wikipedia/commons/3/3b/Koehler1887-PimpinellaAnisum.jpg,49694,68674
Pimpinella major,Isopukinjuuri,1,https://upload.wikimedia.org/wikipedia/commons/c/c5/Apiaceae_-_Pimpinella_major-1.JPG,272743,32442496
Pimpinella saxifraga,Ahopukinjuuri,1,https://upload.wikimedia.org/wikipedia/commons/3/3c/Pimpinella_saxifraga_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-241.jpg,578401,2874140
Sanicula europaea,Haavayrtti,1,https://upload.wikimedia.org/wikipedia/commons/4/4a/Sanicula_europaea_050606.jpg,1045447,8003882
Scandix iberica,Kaukasiansarjaputki,1,https://upload.wikimedia.org/wikipedia/commons/7/74/QALace2675.JPG,1021408,49740264
Scandix pecten-veneris,Kampasarjaputki,1,https://upload.wikimedia.org/wikipedia/commons/4/44/Scandix_pecten-veneris_flowers_and_fruits.jpg,1314339,11796706
Selinum carvifolia,Harjasärmäputki,1,https://upload.wikimedia.org/wikipedia/commons/1/18/Selinum_carvifolia_eF.jpg,1314344,17166036
###ERROR###Seseli libanotis,Niittyhirvenputki
Silaum silaus,Lännenketunputki,1,https://upload.wikimedia.org/wikipedia/commons/7/75/Illustration_Silaum_silaus0.jpg,-1,40914478
Sium latifolium,Sorsanputki,1,https://upload.wikimedia.org/wikipedia/commons/6/60/Sium_latifolium.jpg,480238,480238
Sium sisarum,Sokerijuuri,1,https://upload.wikimedia.org/wikipedia/commons/2/27/Illustration_Sium_sisarum0.jpg,78875,771180
Torilis japonica,Punakatko,1,https://upload.wikimedia.org/wikipedia/commons/f/f2/Torilis_japonica.jpeg,909339,27696793
Turgenia latifolia,Lapapurho,1,https://upload.wikimedia.org/wikipedia/commons/7/7c/Illustration_Turgenia_latifolia0.jpg,54687,40001988
Vinca major,Isotalvio,1,https://upload.wikimedia.org/wikipedia/commons/8/82/Vinca_major_NS.jpg,996287,6701006
Vinca minor,Pikkutalvio,1,https://upload.wikimedia.org/wikipedia/commons/5/5b/Vinca_minor_Nashville.jpg,503069,4865085
Acorus calamus,Rohtokalmojuuri,1,https://upload.wikimedia.org/wikipedia/commons/3/37/Acorus_calamus1.jpg,51536,371540
Calla palustris,Suovehka,1,https://upload.wikimedia.org/wikipedia/commons/9/9b/Calla_palustris2.jpg,290042,2881815
Lysichiton americanus,Keltamajavankaali,1,https://upload.wikimedia.org/wikipedia/commons/8/81/WesternSkunkCabbage.JPG,570371,8964946
Aralia chinensis,Puistoaralia,1,https://upload.wikimedia.org/wikipedia/commons/3/3e/Aralia_chinensis.JPG,1016019,6854364
Aralia elata,Piikkiaralia,1,https://upload.wikimedia.org/wikipedia/commons/2/23/Aralia_elata_en_fleur4081.jpg,990178,184051
Aralia racemosa,Terttuaralia,1,https://upload.wikimedia.org/wikipedia/commons/2/20/Aralia_racemosa1.jpg,1016019,8163256
Hedera helix,Muratti,1,https://upload.wikimedia.org/wikipedia/commons/c/c7/Hedera_helix1.JPG,305090,5372245
Phoenix dactylifera,Välimerentaateli,1,https://upload.wikimedia.org/wikipedia/commons/1/17/Dates_on_date_palm.jpg,89311,87598
Asarum europaeum,Lehtotaponlehti,1,https://upload.wikimedia.org/wikipedia/commons/c/c3/Asarum_europaeum_170406.jpg,332275,2729737
Vincetoxicum hirundinaria,Kalliokäärmeenpistonyrtti,1,https://upload.wikimedia.org/wikipedia/commons/c/c7/Vincetoxicum_officinale.jpg,561994,17166280
Asparagus officinalis,Ruokaparsa,1,https://upload.wikimedia.org/wikipedia/commons/1/15/Julia_Child_at_KUHT.jpg,170670,46319
Asplenium adulterinum,Serpentiiniraunioinen,1,https://upload.wikimedia.org/wikipedia/commons/8/8c/Asplenium-viride.jpg,702460,29771346
Asplenium ruta-muraria,Seinäraunioinen,1,https://upload.wikimedia.org/wikipedia/commons/e/ed/Asplenium_ruta_muraria2.jpg,744251,25794255
Asplenium septentrionale,Liuskaraunioinen,1,https://upload.wikimedia.org/wikipedia/commons/1/14/Asplenium_septentrionale_2005.07.11_11.35.02-p7110215.jpg,967649,19900047
Asplenium trichomanes,Tummaraunioinen,1,https://upload.wikimedia.org/wikipedia/commons/1/1b/Asplenium_trichomanes2.JPG,967455,18851062
Asplenium trichomanes ssp. quadrivalens,Kalkkitummaraunioinen,1,https://upload.wikimedia.org/wikipedia/commons/1/1b/Asplenium_trichomanes2.JPG,962549,18851062
Asplenium trichomanes ssp. trichomanes,Kalliotummaraunioinen,1,https://upload.wikimedia.org/wikipedia/commons/1/1b/Asplenium_trichomanes2.JPG,962549,18851062
Asplenium viride,Viherraunioinen,1,https://upload.wikimedia.org/wikipedia/commons/8/8c/Asplenium-viride.jpg,967635,29771346
Achillea collina,Mäkikärsämö,1,https://upload.wikimedia.org/wikipedia/commons/f/fd/Coleophoridae-01_%28xndr%29.jpg,463683,31673202
Achillea millefolium,Siankärsämö,1,https://upload.wikimedia.org/wikipedia/commons/1/17/Yarrow_%28Achillea_millefolium%29.jpg,10294,74170
###ERROR###Achillea millefolium ssp. alpestris,Pohjansiankärsämö
###ERROR###Achillea millefolium ssp. millefolium,Etelänsiankärsämö
Achillea nobilis,Jalokärsämö,1,https://upload.wikimedia.org/wikipedia/commons/a/ae/Achillea_nobilis_Sturm40.jpg,1047208,10582557
Achillea ptarmica,Ojakärsämö,1,https://upload.wikimedia.org/wikipedia/commons/9/96/Achillea_ptarmica_-_v%C3%B5sa-raudrohi.jpg,270386,651458
Achillea salicifolia,Isokärsämö,1,https://upload.wikimedia.org/wikipedia/commons/c/c2/Achilleamillefolium2web.jpg,1152276,256332
Acroptilon repens,Arokaunokki,1,https://upload.wikimedia.org/wikipedia/commons/b/bd/Acroptilon_repens.jpg,242964,510076
Ageratum houstonianum,Sinitähtönen,1,https://upload.wikimedia.org/wikipedia/commons/1/15/Ageratum_houstonianum_%28alverson%29.jpg,1015601,5152312
Ambrosia artemisiifolia,Marunatuoksukki,1,https://upload.wikimedia.org/wikipedia/commons/6/60/Ambrosia_artemisiifolia_plant7_%2811741895306%29.jpg,1169359,2667794
Ambrosia psilostachya,Krassituoksukki,1,https://upload.wikimedia.org/wikipedia/commons/a/ae/Ambrosia_psilostachya_kz1.jpg,492269,18519544
Ambrosia trifida,Sormituoksukki,1,https://upload.wikimedia.org/wikipedia/commons/4/44/Ambrosia_trifida_%28inflorescences%29.jpg,1028824,6973551
Anacyclus clavatus,Valkoraimikki,1,https://upload.wikimedia.org/wikipedia/commons/1/10/Anacyclus_clavatus_habito.jpg,1045618,17975377
Anacyclus radiatus,Keltaraimikki,1,https://upload.wikimedia.org/wikipedia/commons/4/4b/Anacyclus_pyrethrum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-011.jpg,-1,901453
Anacyclus valentinus,Kehräraimikki,1,https://upload.wikimedia.org/wikipedia/commons/2/20/Anacyclus_valentinus2LaMata.jpg,628699,628699
Anaphalis margaritacea,Helminukkajäkkärä,1,https://upload.wikimedia.org/wikipedia/commons/3/32/Anapahlis_margaritacea.jpg,1060915,11977201
Antennaria alpina,Tunturikissankäpälä,1,https://upload.wikimedia.org/wikipedia/commons/7/7e/Antennariaalpina.jpg,995978,659269
Antennaria canescens,Harmaakissankäpälä,1,https://upload.wikimedia.org/wikipedia/commons/9/94/Gaillardia_aristata2.jpg,995978,32219606
Antennaria dioica,Ahokissankäpälä,1,https://upload.wikimedia.org/wikipedia/commons/a/a4/Antennaria_dioica.jpg,67878,2942051
Antennaria nordhageniana,Ruijankissankäpälä,1,https://upload.wikimedia.org/wikipedia/commons/a/a4/Antennaria_dioica.jpg,447851,659007
Antennaria porsildii,Kaljukissankäpälä,1,https://upload.wikimedia.org/wikipedia/commons/7/7e/Antennariaalpina.jpg,995971,659269
Antennaria villifera,Isokissankäpälä,1,https://upload.wikimedia.org/wikipedia/commons/c/c9/Antennaria_lanata.jpg,650998,46749011
###ERROR###Anthemis altissima,Isosauramo
Anthemis arvensis,Peltosauramo,1,https://upload.wikimedia.org/wikipedia/commons/8/81/ANTHEMIS_arvensis_K%C3%B6hler.png,1106179,6765823
###ERROR###Anthemis austriaca,Itävallansauramo
Anthemis cotula,Haisusauramo,1,https://upload.wikimedia.org/wikipedia/commons/4/42/ANTHEMIS_cotula_K%C3%B6hler.png,1030130,4243304
Anthemis fumariifolia,Berberisauramo,1,https://upload.wikimedia.org/wikipedia/commons/8/89/Illustration_Anthemis_arvensis0.jpg,988716,1548577
Anthemis ruthenica,Kaakonsauramo,1,https://upload.wikimedia.org/wikipedia/commons/8/89/Illustration_Anthemis_arvensis0.jpg,1030129,1548577
Anthemis tinctoria,Keltasauramo,1,https://upload.wikimedia.org/wikipedia/commons/e/e6/Anthemis_April_2009-1.jpg,401180,651402
Arctium lappa,Isotakiainen,1,https://upload.wikimedia.org/wikipedia/commons/c/ca/ArctiumLappa1.jpg,994069,2826060
Arctium minus,Pikkutakiainen,1,https://upload.wikimedia.org/wikipedia/commons/3/33/Arctium_minus_corimbo.jpg,1001593,12434332
Arctium nemorosum,Lehtotakiainen,1,https://upload.wikimedia.org/wikipedia/commons/8/80/Villtakjas_2008.jpg,396555,158217
Arctium tomentosum,Seittitakiainen,1,https://upload.wikimedia.org/wikipedia/commons/9/9e/Arctium_tomentosum_-_villtakjas.jpg,284464,21750550
Arnica angustifolia,Tunturiarnikki,1,https://upload.wikimedia.org/wikipedia/commons/6/61/Arnica_angustifolia.jpg,277823,46775483
Arnica chamissonis,Lännenarnikki,1,https://upload.wikimedia.org/wikipedia/commons/7/7f/Arnica_chamissonis0.jpg,992295,35694499
Arnica montana,Etelänarnikki,1,https://upload.wikimedia.org/wikipedia/commons/1/17/Arnica_montana_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-015.jpg,715324,655546
Arnoseris minima,Kultakaunokki,1,https://upload.wikimedia.org/wikipedia/commons/3/3e/Arnoseris_minima_kz3.jpg,242964,24729555
Artemisia abrotanum,Aaprottimaruna,1,https://upload.wikimedia.org/wikipedia/commons/3/34/Artemisia_abrotanum0.jpg,49689,2994187
Artemisia absinthium,Koiruoho mali,1,https://upload.wikimedia.org/wikipedia/commons/e/eb/Artemisia_absinthium_P1210748.jpg,54877,975338
Artemisia annua,Kesämaruna,1,https://upload.wikimedia.org/wikipedia/commons/d/db/Artemisia_annua.jpeg,895126,727033
Artemisia austriaca,Tonavanmaruna,1,https://upload.wikimedia.org/wikipedia/commons/a/a1/Artemisia_nilagirica_W_IMG_3104.jpg,1040059,483578
Artemisia biennis,Sahamaruna,1,https://upload.wikimedia.org/wikipedia/commons/f/ff/Artemisia_biennis_BB-1913.jpg,196327,19780699
Artemisia campestris,Ketomaruna,1,https://upload.wikimedia.org/wikipedia/commons/9/98/Artemisia_campestris_Ypey37.jpg,716225,17509286
###ERROR###Artemisia campestris ssp. bottnica,Perämerenketomaruna
###ERROR###Artemisia campestris ssp. campestris,Kiiltoketomaruna
